Name,PPG,AST,BLK,TO,STL,REB,OREB,DREB,GP,GS,MPG,FGA,FG,FG%,3PA,3P,3P%,FTA,FT,FT%,2PA,2P,2P%,EFG%,Salary
Shelvin Mack,6.4,3.1,0.1,1.2,0.6,2,0.3,1.7,399,53,17.9,5.9,2.5,0.427,2,0.6,0.326,1,0.8,0.74,3.9,1.9,0.477,0.481,2029463
Isaiah Thomas,18.9,5.1,0.1,2.4,0.9,2.6,0.6,2,473,324,29.8,13.9,6.1,0.439,5.4,1.9,0.361,5.4,4.7,0.877,8.5,4.1,0.488,0.509,2029463
Spencer Hawes,8.7,1.9,1,1.4,0.4,5.7,1.4,4.2,684,368,22.7,7.8,3.6,0.457,1.5,0.5,0.35,1.4,1,0.716,6.3,3.1,0.482,0.49,2007058
Georgios Papagiannis,4.1,0.7,0.6,0.8,0.2,3.2,0.9,2.2,39,0,12.2,3.7,1.9,0.514,0.1,0,0,0.4,0.3,0.857,3.6,1.9,0.521,0.514,2000400
Torrey Craig,4.2,0.6,0.4,0.5,0.3,3.3,1,2.2,39,5,16.1,3.5,1.6,0.453,1.5,0.4,0.293,0.9,0.6,0.629,2,1.2,0.57,0.515,2000000
OG Anunoby,5.9,0.7,0.2,0.6,0.7,2.5,0.6,1.9,74,62,20,4.7,2.2,0.471,2.7,1,0.371,0.8,0.5,0.629,2,1.2,0.604,0.577,1952760
Ante Zizic,3.7,0.2,0.4,0.3,0.1,1.9,0.8,1.1,32,2,6.7,2.1,1.5,0.731,0,0,0,0.9,0.7,0.724,2.1,1.5,0.731,0.731,1952760
Shabazz Napier,5.7,1.9,0.1,1.1,0.8,1.7,0.3,1.5,233,22,15.7,4.9,1.9,0.395,2.3,0.8,0.363,1.2,1,0.802,2.6,1.1,0.422,0.479,1942422
Tyler Zeller,7,0.9,0.6,0.8,0.3,4.4,1.5,2.9,406,165,17.6,5.5,2.8,0.508,0.1,0,0.294,1.7,1.3,0.764,5.5,2.8,0.512,0.511,1933941
Anderson Varejao,7.3,1.2,0.6,0.9,0.9,7.2,2.4,4.8,627,209,24,5.6,2.9,0.51,0.1,0,0.024,2.4,1.5,0.631,5.6,2.9,0.516,0.511,1913345
Tim Duncan,19,3,2.2,2.4,0.7,10.8,2.8,8.1,1392,1389,34,14.6,7.4,0.506,0.1,0,0.179,6.1,4.2,0.696,14.5,7.4,0.509,0.507,1881250
Tyler Lydon,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1874640
Larry Sanders,6.4,0.7,1.8,0.9,0.6,5.7,2,3.7,238,113,19.5,5.9,2.8,0.48,0,0,0,1.4,0.8,0.553,5.8,2.8,0.481,0.48,1865547
Henry Ellenson,3.7,0.5,0,0.6,0.1,2.1,0.3,1.8,57,2,8.3,3.7,1.3,0.362,1.7,0.5,0.316,0.6,0.5,0.784,2,0.8,0.4,0.433,1857480
Trey Burke,10.9,3.8,0.1,1.4,0.6,2.1,0.3,1.8,303,120,24.4,10.5,4.2,0.404,3.8,1.3,0.339,1.4,1.1,0.791,6.7,2.9,0.441,0.466,1795015
DeAndre Liggins,2,0.7,0.2,0.5,0.6,1.4,0.3,1.2,177,24,10.8,1.8,0.7,0.402,0.7,0.2,0.352,0.5,0.3,0.549,1.1,0.5,0.432,0.469,1795015
Malik Beasley,3.3,0.5,0.1,0.4,0.3,1,0.2,0.8,84,1,8.9,3,1.3,0.422,1.3,0.4,0.336,0.5,0.4,0.698,1.7,0.8,0.489,0.496,1773840
Nerlens Noel,9.3,1.4,1.4,1.7,1.6,7.2,2.2,5.1,223,158,26,7.4,3.8,0.512,0,0,0.25,2.7,1.7,0.624,7.4,3.8,0.513,0.512,1757429
Michael Carter-Williams,11.5,4.9,0.6,2.7,1.4,4.7,1,3.8,287,191,27.5,10.7,4.3,0.402,1.9,0.5,0.25,3.4,2.4,0.707,8.8,3.8,0.434,0.424,1757429
Caleb Swanigan,2.3,0.5,0.1,0.7,0.2,2,0.6,1.4,27,3,7,2.2,0.9,0.4,0.3,0,0.125,0.7,0.4,0.667,1.9,0.9,0.442,0.408,1740000
Furkan Korkmaz,1.6,0.3,0.1,0.1,0.1,0.8,0.1,0.6,14,0,5.7,2,0.6,0.286,1.2,0.4,0.294,0.3,0.1,0.5,0.8,0.2,0.273,0.375,1740000
Ian Clark,5.3,1.1,0.1,0.7,0.4,1.3,0.2,1.1,270,3,13.1,4.6,2.1,0.453,1.9,0.6,0.346,0.6,0.5,0.784,2.8,1.5,0.525,0.522,1709538
Caris LeVert,10.4,3.2,0.2,1.7,1,3.5,0.6,2.9,128,36,24.2,8.7,3.8,0.44,3.4,1.1,0.336,2.2,1.6,0.714,5.4,2.7,0.506,0.505,1702800
Kyle Kuzma,16.1,1.8,0.4,1.8,0.6,6.3,1.1,5.1,77,37,31.2,13.5,6.1,0.45,5.6,2.1,0.366,2.7,1.9,0.707,7.9,4,0.511,0.527,1689840
Tony Bradley,0.9,0.1,0,0,0,1.2,0.4,0.8,9,0,3.2,1.2,0.3,0.273,0.1,0,0,0.2,0.2,1,1.1,0.3,0.3,0.273,1679520
Derrick White,3.2,0.5,0.2,0.4,0.2,1.5,0.3,1.2,17,0,8.2,1.9,0.9,0.485,0.8,0.5,0.615,1.2,0.8,0.7,1.2,0.5,0.4,0.606,1667160
MarShon Brooks,8.2,1.5,0.2,1.3,0.6,2.2,0.7,1.5,171,50,17.9,7,3.1,0.447,1.5,0.5,0.359,1.8,1.4,0.757,5.5,2.6,0.471,0.486,1656092
Spencer Dinwiddie,8.9,4.5,0.3,1.3,0.7,2.6,0.4,2.2,185,77,23,7.4,2.9,0.387,3.3,1,0.315,2.7,2.1,0.798,4.1,1.8,0.446,0.458,1656092
Josh Hart,7.9,1.3,0.3,0.7,0.7,4.2,0.7,3.5,63,23,23.2,6,2.8,0.469,3.1,1.2,0.396,1.5,1,0.702,2.8,1.6,0.551,0.573,1655160
Pat Connaughton,3.7,0.8,0.2,0.5,0.2,1.6,0.4,1.2,155,6,12.6,3.3,1.4,0.421,1.7,0.6,0.364,0.4,0.3,0.845,1.6,0.8,0.482,0.515,1641000
DeAndre' Bembry,3.7,1.2,0.3,1,0.5,2,0.3,1.7,64,4,12.9,3.5,1.6,0.442,0.8,0.2,0.25,0.8,0.4,0.51,2.8,1.4,0.494,0.469,1634640
Nik Stauskas,7,1.6,0.3,1.1,0.4,2.1,0.2,1.9,267,63,21.1,6.1,2.4,0.386,3.5,1.2,0.349,1.4,1.1,0.801,2.6,1.1,0.435,0.486,1621415
James Ennis,6.4,0.9,0.3,0.8,0.6,3.2,1,2.2,220,58,20.4,4.8,2.2,0.454,2,0.7,0.359,1.6,1.3,0.811,2.8,1.5,0.521,0.528,1621415
Luke Kornet,6.7,1.3,0.8,0.6,0.3,3.2,0.6,2.7,20,1,16.3,6.3,2.5,0.392,4,1.4,0.354,0.6,0.4,0.727,2.3,1.1,0.457,0.504,1619000
Richaun Holmes,7.4,1,0.8,0.7,0.5,4.2,1.4,2.8,156,20,16.9,5.6,3.1,0.547,1,0.3,0.257,1.5,1,0.687,4.6,2.8,0.609,0.57,1600520
T.J. McConnell,6.4,5.1,0.1,1.7,1.3,3.1,0.5,2.6,238,69,22.9,5.9,2.8,0.475,0.9,0.3,0.335,0.7,0.5,0.765,5,2.5,0.5,0.5,1600520
Malachi Richardson,3.5,0.5,0,0.4,0.3,1.2,0.2,1,48,4,10.9,3.3,1.2,0.367,1.4,0.4,0.294,0.9,0.7,0.78,1.9,0.8,0.422,0.43,1569360
Kevon Looney,3.3,0.6,0.6,0.4,0.4,2.8,1.1,1.8,124,8,11.1,2.5,1.4,0.56,0.1,0,0.25,0.9,0.5,0.568,2.3,1.4,0.577,0.567,1567007
Salah Mejri,3.3,0.4,1,0.6,0.4,4,1.3,2.7,168,18,12.1,2.1,1.3,0.639,0,0,0.143,1,0.6,0.584,2.1,1.3,0.649,0.641,1567007
Pascal Siakam,6,1.3,0.6,0.7,0.6,4,1.1,3,136,43,18.7,5.2,2.6,0.506,1,0.2,0.216,0.9,0.6,0.639,4.1,2.4,0.578,0.528,1544951
Dejounte Murray,6.6,2.3,0.3,1.4,0.9,4.2,1,3.2,119,56,17.4,6.1,2.7,0.441,0.5,0.2,0.316,1.5,1.1,0.708,5.6,2.5,0.452,0.454,1544951
Skal Labissiere,8.7,1.1,0.7,1.2,0.4,4.8,1.6,3.2,93,40,19.9,7.3,3.5,0.476,0.6,0.2,0.356,2.1,1.6,0.766,6.6,3.2,0.488,0.492,1544951
Deyonta Davis,4.3,0.4,0.6,0.4,0.2,3.2,1,2.2,98,6,12.1,3.2,1.9,0.593,0,0,0,0.8,0.5,0.64,3.2,1.9,0.593,0.593,1544951
Wade Baldwin,3.6,1.7,0.2,1.1,0.5,1.4,0.3,1.1,40,1,12.1,3.4,1.3,0.368,0.7,0.2,0.259,1.2,0.9,0.787,2.7,1.1,0.394,0.393,1544951
Jake Layman,1.6,0.3,0.1,0.2,0.2,0.6,0.1,0.4,70,2,5.8,1.9,0.6,0.294,1,0.2,0.239,0.3,0.2,0.75,0.9,0.3,0.354,0.357,1544951
Timothe Luwawu-Cabarrot,6.1,1.1,0.1,0.9,0.4,1.8,0.3,1.5,121,26,16.5,5.2,2,0.39,2.6,0.9,0.323,1.5,1.2,0.834,2.6,1.2,0.46,0.472,1544951
Cheick Diallo,4.9,0.3,0.4,0.5,0.2,4.1,1,3.1,69,0,11.3,3.7,2,0.548,0,0,0,1.3,0.9,0.747,3.7,2,0.548,0.548,1544951
Malcolm Brogdon,11.3,3.8,0.2,1.5,1,3,0.6,2.4,123,48,27.8,9.3,4.3,0.469,2.9,1.1,0.395,1.7,1.5,0.872,6.4,3.2,0.503,0.531,1544951
Rodney McGruder,6.1,1.5,0.2,0.6,0.6,3,1.1,1.9,96,67,23.6,5.6,2.4,0.424,2.7,0.9,0.345,0.8,0.5,0.608,2.9,1.4,0.496,0.507,1544951
Wayne Selden,8.1,1.6,0.1,1.3,0.5,1.5,0.3,1.1,49,14,18.9,6.7,2.9,0.431,3.1,1.1,0.373,1.7,1.2,0.716,3.6,1.7,0.48,0.517,1544951
Ivica Zubac,5.5,0.7,0.6,0.7,0.3,3.5,1.1,2.4,81,11,12.6,4.4,2.3,0.519,0,0,0,1.2,0.9,0.71,4.4,2.3,0.525,0.519,1544951
Quinn Cook,8.3,2.4,0,1,0.3,1.9,0.2,1.7,47,18,19.7,6.8,3.3,0.487,2.8,1.2,0.438,0.6,0.5,0.8,4,2.1,0.521,0.577,1544951
Damian Jones,1.8,0.1,0.3,0.4,0.1,1.5,0.6,0.9,25,0,7,1.5,0.8,0.5,0,0,0,0.6,0.2,0.4,1.5,0.8,0.5,0.5,1544951
Chinanu Onuaku,3,0.7,0.2,1.2,0.5,2.3,0.5,1.8,6,1,12.3,2,1.2,0.583,0,0,0,0.7,0.7,1,2,1.2,0.583,0.583,1544951
Dorian Finney-Smith,4.6,0.9,0.3,0.6,0.6,2.9,0.8,2.2,102,48,20.5,4.5,1.7,0.374,2.5,0.7,0.295,0.7,0.6,0.75,1.9,0.9,0.48,0.458,1544951
Willy Hernangomez,6.9,1.1,0.4,1.1,0.5,5.7,1.9,3.8,120,23,15.2,5.2,2.8,0.536,0.2,0.1,0.333,1.8,1.3,0.698,5,2.7,0.545,0.543,1544951
David Stockton,3,1.5,0,0.8,0.3,0.3,0,0.3,6,0,7,1.5,0.7,0.444,0.8,0.5,0.6,1.7,1.2,0.7,0.7,0.2,0.25,0.611,1544951
Andrew Harrison,7.5,2.9,0.4,1.3,0.7,2.1,0.4,1.7,128,64,21.9,6.2,2.3,0.378,2.3,0.7,0.302,2.8,2.1,0.771,3.8,1.6,0.424,0.435,1544951
Georges Niang,0.9,0.3,0,0.3,0.2,0.8,0.2,0.7,32,0,3.9,1.5,0.4,0.277,0.5,0,0.063,0.1,0.1,0.75,1,0.4,0.387,0.287,1512601
Derrick Jones,4.4,0.4,0.5,0.4,0.3,2.3,1.2,1.1,52,16,15.2,3.3,1.7,0.511,0.6,0.1,0.207,1.3,0.9,0.692,2.8,1.6,0.572,0.529,1512601
Treveon Graham,3.7,0.7,0,0.3,0.4,1.6,0.5,1.1,90,3,13.8,2.9,1.3,0.441,1.2,0.5,0.438,0.8,0.6,0.689,1.7,0.7,0.443,0.534,1512601
Lorenzo Brown,3.1,2,0.1,0.8,0.6,1.6,0.3,1.3,77,7,12.6,3.5,1.3,0.375,1,0.2,0.154,0.5,0.3,0.684,2.5,1.1,0.466,0.397,1512601
Noah Vonleh,4.1,0.4,0.3,0.7,0.3,4.7,1.4,3.3,231,113,15.5,3.7,1.6,0.444,0.6,0.2,0.297,1,0.7,0.664,3.1,1.5,0.474,0.469,1512601
Troy Williams,6.2,0.8,0.3,1,0.9,2.6,0.7,1.9,51,17,16.9,5.4,2.4,0.449,2,0.6,0.29,1.2,0.8,0.661,3.5,1.9,0.54,0.502,1512601
Jordan Bell,4.6,1.8,1,0.9,0.6,3.6,1.1,2.6,57,13,14.2,3.2,2,0.627,0.1,0,0,0.8,0.5,0.682,3.2,2,0.641,0.627,1378252
Thomas Bryant,1.5,0.4,0.1,0.1,0.1,1.1,0.2,0.9,15,0,4.8,1.4,0.5,0.381,0.7,0.1,0.1,0.6,0.3,0.556,0.7,0.5,0.636,0.405,1378242
Frank Mason,7.9,2.8,0.2,1.3,0.7,2.5,0.6,1.9,52,2,18.9,7.3,2.8,0.379,1.7,0.6,0.36,2.2,1.8,0.817,5.7,2.2,0.384,0.42,1378242
Davon Reed,3,0.6,0.1,0.5,0.5,1.9,0.1,1.8,21,1,11.5,3.6,1,0.289,1.8,0.5,0.289,0.6,0.4,0.667,1.8,0.5,0.289,0.362,1378242
Wesley Iwundu,3.7,0.9,0.2,0.5,0.5,2.2,0.6,1.6,62,12,16.5,3.5,1.5,0.427,0.7,0.1,0.196,0.8,0.5,0.723,2.8,1.4,0.488,0.447,1378242
Khem Birch,4.2,0.8,0.5,0.5,0.4,4.3,1.7,2.6,42,0,13.8,3,1.6,0.54,0,0,0,1.5,1,0.689,3,1.6,0.54,0.54,1378242
Abdel Nader,3,0.5,0.2,0.7,0.3,1.5,0.3,1.2,48,1,10.9,3.1,1,0.336,1.4,0.5,0.354,0.8,0.5,0.59,1.8,0.6,0.321,0.413,1378242
Damyean Dotson,4.1,0.7,0,0.4,0.3,1.9,0.2,1.7,44,2,10.8,3.7,1.6,0.447,1.5,0.5,0.324,0.5,0.4,0.696,2.1,1.1,0.538,0.516,1378242
Sterling Brown,4,0.5,0.2,0.5,0.6,2.6,0.5,2.1,54,4,14.4,3.8,1.5,0.4,1.7,0.6,0.352,0.4,0.4,0.875,2.1,0.9,0.439,0.478,1378242
Dillon Brooks,11,1.6,0.2,1.5,0.9,3.1,0.6,2.5,82,74,28.7,9.4,4.1,0.44,3.2,1.1,0.356,2,1.5,0.747,6.2,3,0.484,0.501,1378242
Dakari Johnson,1.8,0.3,0.3,0.1,0.2,1.1,0.5,0.6,31,6,5.2,1.3,0.7,0.564,0,0,0,0.6,0.4,0.55,1.3,0.7,0.564,0.564,1378242
Ivan Rabb,5.6,0.9,0.4,1,0.3,4.4,1.5,2.9,36,5,14.3,4.2,2.4,0.566,0,0,0,1,0.8,0.806,4.2,2.4,0.566,0.566,1378242
Jawun Evans,4.8,2.1,0.1,0.9,0.8,1.8,0.2,1.6,48,4,16.2,5.3,1.9,0.352,1.1,0.3,0.278,1,0.8,0.776,4.1,1.5,0.372,0.381,1378242
Sindarius Thornwell,3.9,0.9,0.3,0.7,0.7,1.9,0.5,1.5,73,17,15.8,3.2,1.4,0.429,0.8,0.3,0.377,1.2,0.8,0.67,2.4,1.1,0.448,0.479,1378242
Ike Anigbogu,1.2,0,0.3,0.2,0.1,0.8,0.5,0.4,11,0,2.7,0.8,0.4,0.444,0,0,0,0.5,0.5,0.833,0.8,0.4,0.444,0.444,1378242
Maxi Kleber,5.4,0.7,0.7,0.4,0.4,3.3,1,2.3,72,36,16.8,4.3,2.1,0.489,1.8,0.6,0.313,0.8,0.6,0.746,2.5,1.5,0.613,0.553,1378242
Dwayne Bacon,3.3,0.7,0,0.4,0.3,2.3,0.1,2.3,53,6,13.5,3.6,1.4,0.375,0.8,0.2,0.256,0.5,0.4,0.8,2.8,1.2,0.409,0.404,1378242
Semi Ojeleye,2.7,0.3,0.1,0.3,0.3,2.2,0.5,1.7,73,0,15.8,2.6,0.9,0.346,1.7,0.5,0.32,0.6,0.3,0.61,0.9,0.3,0.397,0.452,1378242
Daniel Theis,5.3,0.9,0.8,0.9,0.5,4.3,1.4,2.9,63,3,14.9,3.7,2,0.541,0.9,0.3,0.31,1.3,1,0.753,2.8,1.7,0.617,0.579,1378242
Tyler Dorsey,7.2,1.4,0.1,0.7,0.3,2.3,0.3,2,56,5,17.4,6.8,2.6,0.377,3.6,1.3,0.362,1.1,0.8,0.714,3.3,1.3,0.393,0.471,1378242
Shaquille Harrison,6.6,2.4,0.3,1,1.1,2.7,0.4,2.3,23,2,16.7,5.4,2.6,0.476,1.1,0.3,0.231,1.7,1.2,0.737,4.3,2.3,0.541,0.5,1378242
Royce O'Neale,5,1.4,0.2,0.8,0.5,3.4,0.4,3.1,69,4,16.7,4.1,1.7,0.423,1.7,0.6,0.356,1.1,0.9,0.803,2.4,1.1,0.47,0.496,1378242
Zhou Qi,1.2,0.1,0.8,0.6,0.1,1.2,0.3,0.9,18,0,6.9,1.8,0.3,0.188,1.1,0.1,0.105,0.7,0.4,0.667,0.7,0.2,0.308,0.219,1378242
Antonius Cleveland,1.4,0.1,0.3,0.4,0.4,0.8,0.2,0.6,17,0,7.2,1.2,0.5,0.381,0.2,0.2,0.75,0.4,0.2,0.667,1,0.3,0.294,0.452,1378242
Kevin Martin,17.4,1.9,0.1,1.7,0.9,3.2,0.6,2.6,714,504,30.2,12.3,5.4,0.437,4.2,1.6,0.384,5.7,5,0.87,8.2,3.8,0.464,0.502,1360304
Monte Morris,3.3,2.3,0,0.3,1,0.7,0,0.7,3,0,8.3,2,1.3,0.667,0.3,0,0,0.7,0.7,1,1.7,1.3,0.8,0.667,1349383
Antonio Blakeney,7.9,1.1,0.1,0.6,0.4,1.7,0.2,1.5,19,0,16.5,7.5,2.8,0.371,2.7,0.8,0.288,2.1,1.6,0.769,4.8,2,0.418,0.423,1349383
Jabari Bird,3,0.6,0.1,0.6,0.2,1.5,0.5,1,13,1,8.8,2,1.2,0.577,0.5,0.2,0.429,1,0.5,0.462,1.5,0.9,0.632,0.635,1349383
Ryan Arcidiacono,2,1.5,0,0.5,0.5,1,0,1,24,0,12.7,1.7,0.7,0.415,1.3,0.4,0.29,0.3,0.2,0.833,0.4,0.3,0.8,0.524,1349383
Shabazz Muhammad,9,0.5,0.1,0.7,0.3,2.8,1.1,1.7,278,16,17.2,7.2,3.4,0.473,1.4,0.4,0.319,2.4,1.8,0.751,5.8,2.9,0.51,0.504,1238616
Justin Hamilton,6.1,0.8,0.6,0.6,0.5,3.6,1.2,2.4,113,21,17.4,5.1,2.4,0.464,1.9,0.6,0.309,0.9,0.7,0.798,3.2,1.8,0.56,0.523,1000000
Shelvin Mack,6.4,3.1,0.1,1.2,0.6,2,0.3,1.7,399,53,17.9,5.9,2.5,0.427,2,0.6,0.326,1,0.8,0.74,3.9,1.9,0.477,0.481,1000000
Jason Thompson,8.9,1.1,0.7,1.3,0.5,6.6,2.1,4.4,588,412,25.2,7.2,3.6,0.496,0.1,0,0.143,2.5,1.7,0.657,7.2,3.6,0.5,0.497,945126
Martell Webster,8.7,1,0.3,0.9,0.5,3.1,0.6,2.5,580,266,24,7,2.9,0.418,3.6,1.4,0.382,1.9,1.5,0.791,3.4,1.6,0.454,0.515,833333
Cole Aldrich,3.1,0.5,0.7,0.6,0.4,3.3,1,2.4,339,23,10,2.4,1.3,0.527,0,0,0,0.7,0.5,0.738,2.4,1.3,0.527,0.527,685341
Carlos Delfino,8.1,1.7,0.2,1,0.9,3.6,0.6,3,507,170,22.8,7.2,2.9,0.401,3.7,1.3,0.365,1.3,1,0.758,3.6,1.6,0.438,0.494,650000
Caron Butler,14.1,2.3,0.2,1.8,1.3,5,1.3,3.7,881,732,32.2,12,5.2,0.434,2.4,0.8,0.348,3.3,2.8,0.847,9.6,4.4,0.456,0.469,517219
A.J. Hammons,2.2,0.2,0.6,0.5,0,1.6,0.4,1.3,22,0,7.4,1.9,0.8,0.405,0.5,0.2,0.5,0.9,0.4,0.45,1.5,0.5,0.375,0.464,350088
Festus Ezeli,4.2,0.4,1,0.8,0.3,4.3,1.7,2.5,170,61,14.1,3.2,1.6,0.513,0,0,0,1.7,1,0.557,3.2,1.6,0.513,0.513,333333
C.J. Watson,7.2,2.5,0.1,1.1,0.9,1.9,0.4,1.6,600,104,20.2,6,2.5,0.419,2.1,0.8,0.373,1.7,1.4,0.812,3.9,1.7,0.444,0.484,333333
Miroslav Raduljica,3.6,0.4,0.2,0.6,0.2,2.1,1.1,1.1,53,2,9.2,2.5,1.3,0.53,0,0,0,1.1,0.9,0.825,2.5,1.3,0.53,0.53,252042
Troy Williams,6.2,0.8,0.3,1,0.9,2.6,0.7,1.9,51,17,16.9,5.4,2.4,0.449,2,0.6,0.29,1.2,0.8,0.661,3.5,1.9,0.54,0.502,122741
Demetrius Jackson,1.3,0.6,0.1,0.5,0.3,0.8,0.4,0.5,20,0,4.9,1.1,0.5,0.455,0.4,0.1,0.25,0.4,0.2,0.5,0.7,0.4,0.571,0.5,92857
